vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
хостел,"Хостел ""Как Дома"" ИП Стучинская Ирина Сергеевна","Хостел ""Как Дома""",ИП Стучинская Ирина Сергеевна,Сахалинская область,651500326723,317650100015400,"694550, Россия, Сахалинская область, город Северо-Курильск, улица Шутова, дом 12А, помещение 1,3",+7(42453)2-16-67,hotelseverokurilsk@yandex.ru,kakdomahotel.com,Скороходова Ирина Юрьевна,две звезды,133,02.11.2021,28/АА-69/133-2021,02.11.2021,01.11.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,3,3,«Третья»,4,12,,,,15
городская гостиница (отель),Гостиница «Представительский центр» МУП «Южно-Курильский Докер»,Гостиница «Представительский центр»,Муниципальное унитарное предприятие «Южно-Курильский Докер»,Сахалинская область,6518000650,1026501202386,Муниципальное унитарное предприятие «Южно-Курильский Докер»,+7 (42455) 22155,dom-drujby@rambler.ru,,Маслюк Е.А.,без звёзд,Р-060,20.10.2021,77/114/060-2021,20.10.2021,20.10.2024,"Общество с ограниченной ответственностью ""ПрофНадзор""",«Первая»,1,2,«Пятая»,4,7,,,,9
городская гостиница (отель),Гостиница «Дом Дружбы» МУП «Южно-Курильский Докер»,Гостиница «Дом Дружбы»,Муниципальное унитарное предприятие «Южно-Курильский Докер»,Сахалинская область,6518000650,1026501202386,"694500, Сахалинская область, пгт. Южно-Курильск, ул. Набережная, д. 23",+7 (42455) 22155,dom-drujby@rambler.ru,,Маслюк Е.А.,без звёзд,Р-059,20.10.2021,77/114/059-2021\t,20.10.2021,20.10.2024,"Общество с ограниченной ответственностью ""ПрофНадзор""",«Пятая»,12,60,,,,,,,60
городская гостиница (отель),гостиница «Лотос» ООО «Комплекс «Лотос»,гостиница «Лотос»,Общество с ограниченной ответственностью «Комплекс «Лотос»,Сахалинская область,6501161553,1056500680510,"693000, г. Южно-Сахалинск, ул. Курильская 41а",+7 (4242) 43-09-18,436885@mail.ru,,Маслюк Е.А.,три звезды,Р-021,30.06.2021,77/114/021-2021,30.06.2021,30.06.2024,"Общество с ограниченной ответственностью ""ПрофНадзор""",Высшая «джуниор сюит»,16,32,«Первая»,12,12,,,,44
городская гостиница (отель),"Гостиница ""PARADISE Resort Hotel"" ООО ""Вектор""","Гостиница ""PARADISE Resort Hotel""","Общество с ограниченной ответственностью ""Вектор""",Сахалинская область,6501283664,1166501054500,"693000, Россия, Сахалинская область, город Южно-Сахалинск,  улица Священномученика Илариона Троицкого, дом 1",+7(4242) 630065,hotel@paradise65.ru,www.paradise65.ru,Скороходова Ирина Юрьевна,четыре звезды,116,17.03.2021,28/АА-69/116-2021,17.03.2021,16.03.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «апартмент»,2,8,Высшая «люкс»,6,12,«Первая»,75,150,170
городская гостиница (отель),"гостиница ""Империал Палас"" ИП Им Ен Гун","Гостиница ""Империал Палас""",Индивидуальный предприниматель Им Ен Гун,Сахалинская область,650112809359,304650117400114,"693000, Сахалинская область, г. Южно-Сахалинск, пр-т Мира, д. 422",8 (4242) 75-34-34,imperial-palace@mail.ru,www.impalace.ru,,три звезды,Р-034,29.06.2020,77/13/034-2020,29.06.2020,28.06.2023,"Общество с ограниченной ответственностью ""ПрофНадзор""",«Первая»,43,80,,,,,,,80
хостел,"Хостел ООО ""Поронайское Трансагентство""",Хостел,"Общество с ограниченной ответственностью ""Поронайское Трансагентство""",Сахалинская область,6507014851,1166501054686,"694240, Россия, Сахалинская область, город Поронайск, улица Сахалинская, дом 4",89147478048,tagenstvo2017@yandex.ru,,,без звёзд,095,11.03.2020,28/1/095-2020,11.03.2020,10.03.2023,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,5,17,,,,,,,17
городская гостиница (отель),"""АКВА ROOM"" Индивидуальный предприниматель Пак Мун Су","Гостиница ""АКВА ROOM""",Индивидуальный предприниматель Пак Мун Су,Сахалинская область,650400548745,304650435500030,"694020, Россия, Сахалинская область, Карсаковский район, город Корсаков,  улица Южно-Сахалинская, дом 23",89147586863,zevs.sah@mail.ru,,,без звёзд,093,10.03.2020,28/1/093-2020,10.03.2020,09.03.2023,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,8,16,,,,,,,16
городская гостиница (отель),"""Дом для приезжих"" Общество с ограниченной ответственностью""Сахалинпищепром""","Гостиница ""Дом для приезжих""","Общество с ограниченной ответственностью""Сахалинпищепром""",Сахалинская область,6501109909,1026500536040,"693012, Россия, Сахалинская область, город Южно-Сахалинск, проспект Мира, дом 5а",8(4242)72-79-72,solod_sakhalin@mail.ru,,,без звёзд,092,10.03.2020,28/1/092-2020,10.03.2020,09.03.2023,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,20,33,,,,,,,33
городская гостиница (отель),Гостиница «Монерон» АО «Монерон»,Гостиница «Монерон»,АО «Монерон»,Сахалинская область,6501252024,1126501008633,"693020, Сахалинская обл., город Южно-Сахалинск, Коммунистический проспект, дом 86",8 (4242) 72-34-54,moneron_adm@mail.ru,moneron.biz,,одна звезда,610,20.12.2019,77/41/610-2019,20.12.2019,19.12.2022,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",«Первая»,10,13,«Четвертая»,44,61,«Пятая»,11,18,92
городская гостиница (отель),"Гостиница ""Юбилейная"" ООО ""Гостиница ""Юбилейная""","Гостиница ""Юбилейная""","Общество с ограниченной ответственностью ""Гостиница ""Юбилейная""",Амурская область,2801063020,1022800510193,"675000, Россия, Амурская область, город Благовещенск, площадь Ленина, дом 1","+7(4162)37-00-73,+ 7(4162)200-888",bron@blghotel.ru,www.blghotel.ru,Скороходова Ирина Юрьевна,две звезды,113,11.03.2021,28/АА-69/113-2021,11.03.2021,10.03.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «апартмент»,1,2,Высшая «люкс»,1,2,Высшая «студия»,13,26,30
городская гостиница (отель),Гостиница «Юбилейная» ООО «Сахалин-Монтаж+»,Гостиница «Юбилейная»,Общество с ограниченной ответственностью «Сахалин-Монтаж+»,Сахалинская область,6501252088,1126501008699,"694051, Сахалинская область, город Долинск, проспект Победы, дом 34",+79147551413,Sakhalin-Montag@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,145,23.12.2021,28/АА-69/145-2021,23.12.2021,22.12.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «апартмент»,1,2,«Первая»,16,28,«Вторая»,7,17,47
городская гостиница (отель),Гостиница «Сити Мотель» ООО «Магнолия»,Гостиница «Сити Мотель»,Общество с ограниченной ответственностью «Магнолия»,Сахалинская область,6501162966,1056500747423,"693005, Сахалинская область, город Южно-Сахалинск, улица Колодезная, дом 8/2",+79147524242,citymotel@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,146,23.12.2021,28/АА-69/146-2021,23.12.2021,22.12.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «люкс»,1,4,«Первая»,14,29,,,,33
городская гостиница (отель),"гостиница ""ISLANDER"" ООО «Марципан»","гостиница ""ISLANDER""",Общество с ограниченной ответственностью «Марципан»,Сахалинская область,6501283544,1166501054378,"693020, Россия, Сахалинская область, город Южно-Сахалинск,  улица имени Ф.Э. Дзержинского, дом 14",+7 (962) 104-06-00,islandersakhalin@yandex.ru,islander65.ru,Скороходова Ирина Юрьевна,без звёзд,№ 163,15.03.2022,№ 28/АА-69/163-2022,15.03.2022,14.03.2025,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,6,11,«Пятая»,5,18,,,,29
городская гостиница (отель),Отель «Пасифик Плаза Сахалин» ЗАО «ПАСИФИК»,Отель «Пасифик Плаза Сахалин»,Закрытое Акционерное Общество «ПАСИФИК»,Сахалинская область,6501148961,1046500617668,"693000 Сахалинская область, г. Южно-Сахалинск, пр. Мира, 172",+7 (4242) 455-000,info@sakhalinpacificplaza.ru,www.sakhalinpacificplaza.ru,Сапожникова Людмила Григорьевна,четыре звезды,1135,15.12.2021,77/АА-79/1135-2021,15.12.2021,15.12.2024,"Некоммерческая организация ""Российская Гостиничная Ассоциация""",Высшая «люкс»,4,4,Высшая «джуниор сюит»,28,28,«Первая»,88,112,144
городская гостиница (отель),Городская гостиница «Космос» ИП Де Олег Кендокович,Городская гостиница «Космос»,ИП Де Олег Кендокович,Сахалинская область,650802465400,305650831800016,"694920,  город Углегорск, улица Свободная, 32 «А»",+7(42432)44009,cosmosauna2010@mail.ru,,Скороходова Ирина Юрьевна,одна звезда,134,11.11.2021,28/АА-69/134-2021,12.11.2021,11.11.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,7,10,,,,,,,10
"загородный отель, туристская база, база отдыха",Загородный отель «Бамбучки» ИП Тен Виолетта Сергеевна,Загородный отель «Бамбучки»,ИП Тен Виолетта Сергеевна,Сахалинская область,650906113763,318650100019780,"694610, Россия, Сахалинская область, Холмский район, село Бамбучек,  улица Центральная, дом 23",+79146493633,Ten.v.c@yandex.ru,,Скороходова Ирина Юрьевна,без звёзд,135,11.11.2021,28/АА-69/135-2021,12.11.2021,11.11.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,7,14,«Пятая»,5,18,,,,32
городская гостиница (отель),"Отель «Рыбак» ООО ""ПРОСТОР""",Отель «Рыбак»,"Общество с ограниченной ответственностью ""ПРОСТОР""",Сахалинская область,6501023546,1026500529494,"693000, Россия, Сахалинская область, город Южно-Сахалинск,  улица Карла Маркса, дом 51",8(4242)72-37-68,hotelrybak@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,126,20.10.2021,28/АА-69/126-2021,20.10.2021,19.10.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,12,17,«Вторая»,28,37,,,,54
городская гостиница (отель),Гостиница «Холмск» Индивидуальный предприниматель Крохмаль Валерия Вячеславовна,Гостиница «Холмск»,Индивидуальный предприниматель Крохмаль Валерия Вячеславовна,Сахалинская область,650903846522,308650929600033,"694620 Сахалинская область, г. Холмск, ул. Советская, 60",84243352854,gid.ooo@mail.ru,,,без звёзд,089,02.03.2020,28/1/089-2020,02.03.2020,01.03.2023,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,43,61,,,,,,,61
городская гостиница (отель),Отель «Остров» ИП Хабибуллина Евгения Рашидовна,Отель «Остров»,ИП Хабибуллина Евгения Рашидовна,Сахалинская область,651100797703,312650423500026,"694530, Россия, Сахалинская область, город Курильск,  улица Курильская, дом 12/3",8-42454-42-732,Ostrov065@yandex.ru,,Скороходова Ирина Юрьевна,без звёзд,128,22.10.2021,28/АА-69/128-2021,22.10.2021,21.10.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,11,23,,,,,,,23
городская гостиница (отель),Отель «Дон Кихот» ИП Могилева Марем Муссаевна,Отель «Дон Кихот»,ИП Могилева Марем Муссаевна,Сахалинская область,650500790281,308650526200012,"694740, Россия, Сахалинская область, Невельск, улица Советская, дом 18",+79242871033,Mogileva.25.25@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,127,21.10.2021,28/АА-69/127-2021,21.10.2021,20.10.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,3,5,«Пятая»,27,47,,,,52
городская гостиница (отель),"Гостиница ""Океан"" ИП Гузак Елена Федоровна","Гостиница ""Океан""",ИП Гузак Елена Федоровна,Сахалинская область,650500005005,307650512400010,"694742, Россия, Сахалинская область, город Невельск, улица Казакевича, дом 19",+79242875805,guzakelena@gmail.com,,Скороходова Ирина Юрьевна,без звёзд,121,26.04.2021,28/АА-69/121-2021,26.04.2021,25.04.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «люкс»,1,1,«Первая»,11,12,«Третья»,3,9,22
городская гостиница (отель),"Городская гостиница ""Восточная"" ИП Ким О Бом","Городская гостиница ""Восточная""",ИП Ким О Бом,Сахалинская область,651600726355,308650908600052,"694820, Россия, Сахалинская область, город Томари, улица имени М.И. Калинина, дом 42",+79146431544,vostochnaya.gostinitsa@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,124,27.08.2021,28/АА-69/124-2021,27.08.2021,26.08.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,4,5,«Вторая»,1,2,«Четвертая»,12,26,33
городская гостиница (отель),"Гостиница ""Север"" ИП Цой Ден Дя","Гостиница ""Север""",ИП Цой Ден Дя,Сахалинская область,650700050950,312650732400013,"694240, Россия, Сахалинская область, город Поронайск,  улица Молодежная, дом 3",+7(4231) 50495,"hotelsever2@mail.ru,",gost-sever.ru,Скороходова Ирина Юрьевна,три звезды,115,15.03.2021,28/АА-69/115-2021,15.03.2021,14.03.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «люкс»,2,2,Высшая «студия»,3,3,«Первая»,36,52,57
городская гостиница (отель),"Гостиница ""Восток"" ИП Консманова Анжелика Анатольевна","Гостиница ""Восток""",ИП Консманова Анжелика Анатольевна,Сахалинская область,651800014490,313650434700040,"694500, Россия, Сахалинская область, пгт. Южно-Курильск, улица Океанская, дом 48",+7(42455)21922,lika251174@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,120,23.04.2021,28/АА-69/120-2021,26.04.2021,25.04.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,9,16,,,,,,,16
городская гостиница (отель),"""Земляничные холмы"" ООО ""Гостиница ""Земляничные холмы""","""Земляничные холмы""","Общество с ограниченной ответственностью ""Гостиница ""Земляничные холмы""",Сахалинская область,6501146393,1036500625204,"693012, Россия, Сахалинская область, город Южно-Сахалинск,  улица Солнечного Света, дом 2",+7 (4242) 450700,HOTEL@strawberryhills.ru,strawberryhills.ru,Скороходова Ирина Юрьевна,четыре звезды,№ 110,25.02.2021,№ 28/АА-69/110-2021,25.02.2021,24.02.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «апартмент»,8,16,Высшая «люкс»,2,4,«Первая»,44,88,108
городская гостиница (отель),"""ИМПЕРИЯ"" Индивидуальный предприниматель Максимов Сергей Анатольевич","ГОСТИНИЦА ""ИМПЕРИЯ""",Индивидуальный предприниматель Максимов Сергей Анатольевич,Сахалинская область,650602132725,311650616100028,"694490, РФ, Сахалинская обл., г. Оха, улица Комсомольская, дом 12",84243731155,imperiumhotel.okha@gmail.com,,,одна звезда,090,03.03.2020,28/1/090-2020,03.03.2020,02.03.2023,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «джуниор сюит»,5,5,«Первая»,19,19,«Третья»,1,3,27
городская гостиница (отель),"Гостиница ""Мега Палас Отель"" ООО ""ГРИН СОЛЮШИОН""","Гостиница ""Мега Палас Отель""","ООО ""ГРИН СОЛЮШИОН""",Сахалинская область,6501212624,1096501008471,"693001, Россия, Сахалинская область, город Южно-Сахалинск,  улица Детская, дом 4",+7(4242) 450-450,office@megapalacehotel.ru,megapalacehotel.com,Скороходова Ирина Юрьевна,четыре звезды,112,26.02.2021,28/АА-69/112-2021,26.02.2021,25.02.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «сюит»,4,11,Высшая «апартмент»,13,13,«Первая»,90,110,134
городская гостиница (отель),"Гостиница ""Сахалин-Саппоро"" Совместное предприятие общества с ограниченной ответственностью ""Сахалин-Саппоро""","Гостиница ""Сахалин-Саппоро""","Совместное предприятие общества с ограниченной ответственностью ""Сахалин-Саппоро""",Сахалинская область,6501018585,1026500552341,"693000, Россия, г. Южно-Сахалинск, ул.Ленина, 181",84242425634,sakhsapporo@sakhalin.ru,http://www.sakhsapporo.ru/,,три звезды,071,16.12.2019,28/1/071-2019,16.12.2019,15.12.2022,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «люкс»,11,22,«Первая»,69,134,,,,156
городская гостиница (отель),"Гостиница ""Гагарин"" Индивидуальный предприниматель Ким Чун Дя","Гостиница ""Гагарин""",Индивидуальный предприниматель Ким Чун Дя,Сахалинская область,650102215109,304650110300197,"693010, Россия, Сахалинская область, город Южно-Сахалинск,  улица Комсомольская, дом 133",7 (4242) 498-400,manager@gagarinhotel.ru,www.gagarinhotel.ru,,три звезды,085,09.01.2020,28/1/085-2020,09.01.2020,08.01.2023,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «апартмент»,1,4,Высшая «люкс»,12,24,«Первая»,51,84,112
городская гостиница (отель),"Гостиница ""Сахалин-сфера"" ИП Лагутин Федор Васильевич","Гостиница ""Сахалин-сфера""",ИП Лагутин Федор Васильевич,Сахалинская область,650601731324,316650100071730,"694496, Россия, Сахалинская область, город Оха, улица Дзержинского, дом 23-А",+7(42437) 44333,sakhalin-sfera@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,111,25.02.2021,28/АА-69/111-2021,25.02.2021,24.02.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Вторая»,10,10,«Третья»,26,38,,,,48
городская гостиница (отель),"Гостиница ""Империал"" ИП Большакова Анна Петровна","Гостиница ""Империал""",ИП Большакова Анна Петровна,Сахалинская область,651800033809,304651809700022,"694521, Сахалинская область, Южно-Курильский район, село Крабозаводское, улица Торговая, дом 8",8-424-55-96-219,foxy2187@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,122,19.07.2021,28/АА-69/122-2021,19.07.2021,18.07.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,5,9,,,,,,,9
городская гостиница (отель),"Гостиница ""Ленина Отель"" ООО ""КАФЕМИКС""","Гостиница ""Ленина Отель""","ООО ""КАФЕМИКС""",Сахалинская область,6501275631,1156501005550,"693003, РОССИЯ, Сахалинская область, город Южно-Сахалинск, улица Ленина, дом 3-Б",+7(4242)515717,lenina_hotel@mail.ru,www.nalenina.com,Скороходова Ирина Юрьевна,три звезды,129,22.10.2021,28/АА-69/129-2021,22.10.2021,21.10.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «апартмент»,1,2,Высшая «люкс»,5,10,Высшая «студия»,13,26,38
городская гостиница (отель),"Городская гостиница ""Ноглики"" ООО ""Ноглики Интербытсервис""","Городская гостиница ""Ноглики""","Общество с ограниченной ответственностью ""Ноглики Интербытсервис""",Сахалинская область,6513001000,1076517000230,"694450, Россия, Сахалинская область, поселок городского типа Ноглики,  улица Советская, дом 6",+9147612344,hotel-nogliki@yandex.ru,hotel-nogliki.ru,Скороходова Ирина Юрьевна,без звёзд,118,26.03.2021,28/АА-69/118-2021,26.03.2021,25.03.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,37,46,,,,,,,46
городская гостиница (отель),Городская гостиница «Приморская» ООО «Акваприм»,Городская гостиница «Приморская»,Общество с ограниченной ответственностью «Акваприм»,Сахалинская область,6508010049,1156509000768,"694923, Россия, Сахалинская область,  город Углегорск, улица Приморская, дом 11",+74243237183,primorskaya11@inbox.ru,primorskaya-hotel.ru,Скороходова Ирина Юрьевна,две звезды,125,19.10.2021,28/АА-69/125-2021,19.10.2021,18.10.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,8,8,«Пятая»,8,10,,,,18
городская гостиница (отель),"Отель «Итуруп» АО ""ГИДРОСТРОЙ""",Отель «Итуруп»,"Акционерное общество ""ГИДРОСТРОЙ""",Сахалинская область,6511000731,1026501100328,"694530, Россия, Сахалинская область, город Курильск, улица Андрея Евдокимова, дом 53",8(42454)42463,hotel_iturup@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,131,28.10.2021,28/АА-69/131-2021,28.10.2021,27.10.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,33,38,«Пятая»,2,4,,,,42
городская гостиница (отель),"Городская гостиница «София» ООО ""ММП""",Городская гостиница «София»,"Общество с ограниченной ответственностью ""ММП""",Сахалинская область,6518005295,1026501202860,"694520, Россия, Сахалинская область, Южно-Курильский район,  село Малокурильское, улица Советская, дом 23",+7(42455)96-628,ooommp@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,132,01.11.2021,28/АА-69/132-2021,01.11.2021,31.10.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,6,13,,,,,,,13
